"Date","Brand.Names","Product.Description","Product.Types","Recall.Reason.Description","Company.Name","Category","Food.Sub"
0002-08-20,"Wildway, Trader Joe's","Grain free granola products","Food & Beverages, Food & Beverage Safety, Grain/Grain Product","Listeria","Wildway LLC","Food & Beverages","Grain/Grain Product"
0002-09-20,"Bulletproof","Collagen protein bars and bites","Food & Beverages, Food & Beverage Safety, Meal Replacements","Listeria","Bulletproof 360, Inc. (“Bulletproof”)","Food & Beverages","Meal Replacements"
NA,"Hail Merry","Lemon Mini Miracle Tart Party Pack","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Cashews","Hail Merry","Food & Beverages",""
0002-08-20,"Silver Star","Chipotle Queso Dip","Food & Beverages, Allergens, Food & Beverage Safety, Dressing/Condiment","Undeclared cheese, milk, eggs","Texas Legend Foods","Food & Beverages","Dressing/Condiment"
0002-09-20,"Friendly Farms","Key Lime Crunch Tilts","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared Almond","Commonwealth Dairy, LLC","Food & Beverages","Prepared Food"
0002-08-20,"Dierbergs Kitchen","Flavored Butters","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Fish (Bonito and Cod), Lobster, Crab, Shrimp, Soy and Wheat","Dierbergs Markets","Food & Beverages",""
0002-08-20,"Fairway","Blondie cookies","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared walnuts","Fairway ‘‘Like No Other Market’’ ®","Food & Beverages",""
0002-09-20,"Amrita","Protein Bars","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","Hudson Valley Foods, Inc","Food & Beverages",""
0002-08-20,"Cavi","Papayas","Food & Beverages, Food & Beverage Safety, Fruit/Fruit Product","Salmonella","Agroson’s LLC","Food & Beverages","Fruit/Fruit Product"
0002-08-20,"Schnucks Bakery","Cake","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared pecans","Schnucks Bakery","Food & Beverages","Bakery Product/Mix"
0002-08-20,"California Aloha Mix","California Aloha Mix","Food & Beverages","Undeclared tree nuts (Almonds, Walnuts and Cashews)","Grand BK Corp.","Food & Beverages",""
0002-09-20,"Seven Sundays","Vanilla Cherry Pecan Muesli","Food & Beverages, Allergens, Food & Beverage Safety, Cereal/Breakfast Food","may contain undeclared almonds","Seven Sundays, LLC","Food & Beverages","Cereal/Breakfast Food"
0002-09-20,"Rajbhog Sweets","Jalebi","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared almonds","Rajbhog Distributors GA. Inc.","Food & Beverages",""
0002-09-20,"Big Win, Uncle Ray's, Gourmet Select, more","Popcorn","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Dedinas Franzak Enterprises","Food & Beverages",""
0002-09-20,"Big Win","Popcorn","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Dedinas-Franzak Enterprises","Food & Beverages",""
0002-08-20,"Madhava","Chocolate Chip Cookie Mix","Food & Beverages, Bakery Product/Mix","Undeclared Milk","Madhava Natural Sweeteners","Food & Beverages","Bakery Product/Mix"
NA,"OPA","Ranch Greek Yogurt Dressing","Food & Beverages, Allergens, Food & Beverage Safety, Dressing/Condiment","Undeclared Egg","Litehouse Inc.","Food & Beverages","Dressing/Condiment"
0002-08-20,"Great Value","Frozen organic dark sweet pitted cherry products","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","SunOpta Inc’s subsidiary, Sunrise Growers Inc.","Food & Beverages",""
0009-07-20,"Wegmans","Muffins","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared walnuts","Wegmans","Food & Beverages",""
0002-09-20,"ShopRite","Chocolate Chips","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared milk","Wakefern Food Corp.","Food & Beverages","Chocolate/Cocoa Product"
0002-06-20,"Frutas Selectas de Tijuana, S. de R.L. of C.V.","Maradol Papayas","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with salmonella","Bravo Produce Inc.","Food & Beverages",""
0002-07-20,"Cherry Valley","Cupcakes","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Cherry Valley Marketplace","Food & Beverages",""
0002-08-20,"Southeastern Grocers, Publix Supermarkets, Inc. and more","Fajita blend, Stir fry vegetable, Vegetable kabob and more","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","Country Fresh Orlando, LLC.","Food & Beverages",""
0009-08-20,"Garden of Life","Baby Organic Liquid Supplement","Food & Beverages, Food & Beverage Safety, Baby Food Product","Potential Choking Hazard","Garden of Life LLC","Food & Beverages","Baby Food Product"
0002-08-20,"Coborn’s, Cash Wise","Bread","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared Milk, Soy, and/or Eggs","Coborn's, Inc.","Food & Beverages","Bakery Product/Mix"
0002-09-20,"Bristol Farms","Tasty Treats Nonpareils Milk Chocolate","Food & Beverages, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Milk","First Source","Food & Beverages","Chocolate/Cocoa Product"
0002-08-20,"Hannaford, Nice!, Fresh Selects, Enza's Choice","Egg Salad Sandwiches, Ham Salad Sandwiches, and Seafood Stuffing","Food & Beverages, Food & Beverage Safety, Prepared Food","Listeria monocytogenes","Greencore USA, LLC","Food & Beverages","Prepared Food"
0002-07-20,"King Soopers","Deli Chicken Salad Sandwich","Food & Beverages, Food & Beverage Safety, Prepared Food","Listeria","King Soopers","Food & Beverages","Prepared Food"
0002-08-20,"WAKE-UP","Instant Coffee","Food & Beverages, Allergens, Food & Beverage Safety, Coffee/Tea","Undeclared Milk","Hong Lee Trading Inc.","Food & Beverages","Coffee/Tea"
0002-08-20,"San Francisco Foods","Seafood Salad","Food & Beverages, Allergens, Food & Beverage Safety, Yogurt/Yogurt Product","Undeclared Milk","Simply Fresh Foods, Inc.","Food & Beverages","Yogurt/Yogurt Product"
0010-01-20,"Tampico®","Tropical Punch","Food & Beverages, Allergens, Food & Beverage Safety, Juice","Undeclared Milk Allergen","Dean Dairy","Food & Beverages","Juice"
0002-08-20,"Ri Wang Food","Seafood Products","Food & Beverages, Allergens, Food & Beverage Safety, Fish","Undeclared Milk","America New York Ri Wang Food Group Co. ltd","Food & Beverages","Fish"
0002-07-20,"Natural Grocers","Organic Deglet Noor Dates Pitted","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared coconut","Vitamin Cottage Natural Food Markets, Inc.","Food & Beverages",""
0002-08-20,"Waterfront Bistro","Tartar Sauce","Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces","Undeclared Egg","Silver Spring Foods, Inc.","Food & Beverages","Gravy/Sauces"
0002-07-20,"Death Wish Coffee Co.","Nitro Cold Brew Coffee","Food & Beverages, Food & Beverage Safety","Potential for Botulin Toxin","Death Wish Coffee Co.","Food & Beverages",""
0010-03-20,"Royal Asia","Shrimp Wonton Noodle Soup","Food & Beverages, Allergens, Food & Beverage Safety, Soup","Undeclared Eggs","TAI FOONG USA","Food & Beverages","Soup"
0010-05-20,"Jansal Valley®","Dried Chili De Arbol Peppers","Food & Beverages, Allergens, Food & Beverage Safety, Produce","Peanut Allergen","Sid Wainer & Son®","Food & Beverages","Produce"
NA,"Chun Yen Trading Co.","Reishi Coffee","Food & Beverages, Allergens, Food & Beverage Safety, Milk/Milk Product","Undeclared milk","Chun Yen Trading Co.","Food & Beverages","Milk/Milk Product"
NA,"American Accent","Shredded Imitation Mozzarella Cheese","Food & Beverages, Allergens, Food & Beverage Safety, Cheese/Cheese Product","Undeclared milk","Great Lakes Cheese Co. Inc.","Food & Beverages","Cheese/Cheese Product"
